name,desc
平安银行股份有限公司,深圳 发展银行 股份有限公司 （简称：深圳发展银行，股票简称：深发展A，股票代码：000001）是中国第一家面向 社会公众 公开发行股票 并上市的商业银行。深发展于1987年5月10日以自由认购形式首次向社会 公开发售 人民币 普通股 ，并于1987年12月22日正式宣告成立。2012年6月14日，深圳发展银行正式公告，深圳发展银行已完成 吸收合并 平安银行 的所有 法律手续 ，深圳发展银行和平安银行已经正式合并为一家银行。
深圳国华网安科技股份有限公司,深圳国华网安科技股份有限公司于1986年05月05日成立。法定代表人黄翔，公司经营范围包括：一般经营项目是：信息传输、软件和信息技术服务；计算机软件、信息系统软件的开发、销售；信息系统设计、集成、运行维护；信息技术咨询；集成电路设计、研发；计算机、软件及辅助设备的销售；自有物业租赁；机械设备租赁（不配备操作人员的机械设备租赁，不包括金融租赁活动）；计算机及通讯设备租赁；企业形象策划；信息咨询（不含限制项目）；经济信息咨询（不含限制项目）；贸易咨询；企业管理咨询（不含限制项目）；商务信息咨询；商业信息咨询；投资兴办实业（具体项目另行申报）；投资咨询（不含限制项目）等。 [1]  
深圳世纪星源股份有限公司,深圳世纪星源股份有限公司，证券简称：GST星源、证券代码：000005，公司曾用名称：深圳原野纺织股份有限公司、 深圳原野实业 股份有限公司，曾用简称：深原野A、深星源A、 世纪星源 、ST星源、*ST星源。公司总股本9.14亿股（2006年7月末），总部位于中国 深圳市 人民南路 发展中心大厦 13楼，现任 董事长 为 丁芃 ，总经理为丁芃。
深圳市全新好股份有限公司,深圳市全新好股份有限公司地址位于深圳市 福田区 华强北路1058号现代之窗大厦A座25层。
金田实业（集团）股份有限公司,深圳市金田实业股份有限公司成立于1988年2月8日，其前身为成立于1982年的深圳市纺织工业供销公司，1989年经批准公开发售 A股 ， 1991年 7月3日 在 深圳证券交易所 上市，上市首日收盘于7.1元。
深圳市振业（集团）股份有限公司,深圳市振业（集团）股份有限公司是深圳市国有资产监督管理局直管的国有上市公司，成立于1989年5月，1992年在 深圳证券交易所 公开上市（简称：深振业A，证券代码000006），以房地产开发经营为主营业务。拥有 广西振业房地产股份有限公司 、 湖南振业房地产开发有限公司 、 惠州市惠阳区振业创新发展有限公司 、天津市振业房地产开发有限公司、 西安振业房地产开发有限公司 等多家所属企业。
神州高铁技术股份有限公司,神州高铁技术股份有限公司（简称“神州高铁”）是国内轨道交通运营检修装备行业龙头企业 [1]  ，股票代码000008。神州高铁是轨道交通运维领域唯一覆盖机车、车辆、线路、信号、供电、站场等全产业链的上市公司。 [2]  公司控股股东为 中国国投高新产业投资有限公司 。 [2]  
万科企业股份有限公司,"万科企业股份有限公司（简称万科或万科集团，证券简称： 万科A 、 证券代码 ：000002，证券曾用简称：深万科A、G万科A），公司成立于1984年05月， 总股本 1099521.02万股（2008年2季度），总部位于中国 广东省 深圳市 盐田区 大梅沙环梅路33号万科中心，现任 董事会主席 郁亮 。万科集团在 地产中国网 举办的红榜评选活动中，连续三次上榜。2016年8月，万科企业股份有限公司在""2016 中国企业500强 ""中排名第86位。 2018年1月，公司董事会决定聘任 祝九胜 为公司总裁、首席执行官。 [1]  2018年5月9日，“2018中国 品牌价值 百强榜”发布，万科位列第40。 [2]  2018年7月19日，2018年 《财富》 世界500强排行榜发布，万科企业股份有限公司位列332位。2018年12月5日，荣获第八届香港 国际金融论坛 暨 中国证券金紫荆奖 最具 投资价值 上市公司。 [3]  2018年12月， 世界品牌实验室 发布《 2018世界品牌500强 》榜单，万科排名第447。 [4]  2019年7月，《 财富 》 世界500强 榜单公布，万科企业股份有限公司位列第254位。 [5]  2019年8月22日，2019中国民营企业服务业100强发布，万科企业股份有限公司排名第8。 [6]  2019年9月1日，2019中国服务业企业500强榜单在 济南发布 ，万科企业股份有限公司排名第37位。 [7]  2019年12月18日，人民日报“中国 品牌发展指数 ”100榜单排名第34位。2020年1月4日，获得2020《财经》 长青奖 “可持续发展创新奖”。"
中国宝安集团股份有限公司,中国宝安集团股份有限公司（以下简称宝安集团）是一个综合类股份制集团公司，成立于1983年7月。公司成立以 中国宝安集团股份有限公司来，以“敢为天下先”的胆略和气魄，曾连创“新中国第一家 股份制企业 、发行新中国第一张股票、第一张 可转换债券 、第一张中长期 认股权证 、成功策划 武汉商场 成为深交所第一家异地上市公司、首次通过 证券二级市场 控股上市公司上海 延中实业 、开办新中国第一个 财务顾问公司 安信 财务，协助川盐化、甘长风等二十多家国企 改制上市 ”等多项新中国第一。
深圳美丽生态股份有限公司,深圳美丽生态股份有限公司于1989年01月09日在 深圳市 市场监督管理局登记成立。法定代表人贾明辉，公司经营范围包括林木（不含种子）、花卉（不含种子）、草坪（不含种子）等。
沙河实业股份有限公司,公司前身系深圳华源磁电有限公司，1991年7月始进行股份制改组，将原公司净资产折为1556.2万股发起人法人股，经同年12月至次年4月首次公开发行，上市时总股份2656.2万股；职工股50.23万股于1994年7月11日上市交易。
深圳中浩（集团）股份有限公司,深圳中浩（集团）股份有限公司于1988年04月08日在 深圳市市场监督管理局 南山局登记成立。法定代表人宿南南，公司经营范围包括电子产品、通信设备、家用电器、家俱、音箱等。
中国南玻集团股份有限公司,中国南玻集团股份有限公司成立于一九八四年，为 中外合资企业 。一九九二年二月，公司A、 B股 同时在深交所上市，成为中国最早的上市公司之一。经过二十余年的发展，集团 总资产 近150亿元，有下属企业27家，员工近12000余人，是中国玻璃行业较具竞争力和影响力的大型企业。
康佳集团股份有限公司,康佳集团股份有限公司成立于1980年，是一家以产业产品业务、科技园区业务、平台服务业务、投资金融业务为主体的公司。 [1]  
深圳市物业发展（集团）股份有限公司,2020年4月17日，获评艾媒金榜(iiMedia Ranking)发布的《2020Q1中国华南房地产企业声誉排行三十强榜单》。
深圳中华自行车（集团）股份有限公司,深圳 中华自行车（集团）股份有限公司前身系中华自行车有限公司，1991年始进行股份制改组，将发起人部分净资产折为发起法人股14308.59万股，经同年12月至次年3月首次发行公众股及外资股，上市时总股份20138.59万股；职工股403.6万股于1994年6月20日上市交易。
神州长城股份有限公司,神州长城股份有限公司于1984年04月27日在 深圳市市场监督管理局 大鹏局登记成立，法定代表人陈略。2019年11月15日，深交所消息，神州长城股份有限公司股票终止上市。 [1]  
深圳市深粮控股股份有限公司,"深圳市深粮控股股份有限公司于1981年07月30日成立。法定代表人祝俊明,公司经营范围包括：一般经营项目是：粮油收购和销售、粮油储备；粮油及制品经营及加工；生产茶叶、茶制品、茶及天然植物提取物、食品罐头、饮料、土产品（生产场所营业执照另行申办）；饲料的经营及加工（以外包的方式经营）；粮油物流、饲料物流、茶园等项目投资、经营管理及开发；饲料、茶叶销售；仓储服务；粮食流通服务；现代粮食 供应链服务 ；粮油、茶、植物产品、软饮料和食品的技术开发、技术服务；电子商务及信息化建设，信息技术开发及配套服务；投资兴办实业（具体项目另行申报）；国内贸易；经营进出口业务；在合法取得使用权的土地上从事房地产开发经营；自有物业的开发、经营、租售、管理、管理；物业管理；为酒店提供管理服务等。 [1]  "
深圳中恒华发股份有限公司,深圳中恒华发股份有限公司是国家大型企业和国家彩电定点生产企业。公司全资拥有彩色电视机厂、印制电路板厂、精密注塑厂及位于深圳市中心黄金地段的华发大厦等5万多平方米的物业，公司主要产品均通过美国UL标准认证。公司被评为中国500家最大工业企业、中国100家最大电子企业、中国100家机电产品出口企业等，2001年公司投入资金7000余万元，成功完成了PCB多层板扩建项目，产量品种又上了一个新台阶。公司目标：“五年内把公司建成国内具有竞争力的量化资产效益最大化的企业”。 [1]  
深圳长城开发科技股份有限公司,深圳长城开发科技股份有限公司，成立于1985年，是电子产品研发制造型 企业 ，为客户提供技术研发、 工艺设计 、 生产控制 、采购管理、物流支持等全产业链服务 [1]  ，1994年在深交所挂牌上市（证券简称：深科技，代码：000021）。
深圳市天地（集团）股份有限公司,深圳市天地（集团）股份有限公司是第一家以 商品混凝土 为主业的 上市公司 。
深圳市特力（集团）股份有限公司,"深圳市特力（集团）股份有限公司,前身是成立于1982年的深圳市机械工业公司，1993年通过募集的方式改组成为公众上市公司（股票简称及代码：深特力A，000025；深特力B，200025）。总股本2.2亿股， 深圳市特发集团有限公司 持有1.4587亿股，占总股本的66.22%，是公司第一大股东。"
飞亚达精密科技股份有限公司,飞亚达精密科技股份有限公司于1990年03月30日成立。法定代表人黄勇峰，公司经营范围包括：一般经营项目是：国内商业、物资供销（不含专营、专控、专卖商品）；物业管理及物业租赁；设计服务；自营进出口业务（按深贸管登证字第2000-072号文执行）等。 [1]  
深圳能源集团股份有限公司,深圳能源集团 股份有限公司 前身系深圳能源 投资 股份有限公司， 于1993年1月16日经 深圳市人民政府办公厅 深府 办复1993 355号文批准，由 深圳市能源集团有限公司 作为发起人而 募集设立 ，1993年6月27日正式成立，1993 年9月公司股票在 深圳证券交易所 上市，股票简称： 深圳能源 ， 股票代码 ：000027，是全国电力行业第一家在 深圳 上市的大型 股份制企业 ，也是深圳市第一家上市的 公用事业 股份公司。2019年9月1日，2019中国服务业企业500强榜单在 济南发布 ，深圳能源集团股份有限公司排名第248位。 [1]  2020年7月27日， 2020年《财富》中国500强 排行榜发布，深圳能源集团股份有限公司排名第446位。 [2]  
富奥汽车零部件股份有限公司,富奥汽车零部件股份有限公司（以下简称富奥股份公司）已于2007年12月20日，在长春市工商局注册并投入运营。
国药集团一致药业股份有限公司,国药集团一致药业股份有限公司是集医药研发、 制药工业 、药品分销、 医药物流 为一体的综合性医药上市公司，承担着国家、省、市政府药品特储任务，属下企业共有27家，分布在广东、广西、江苏等省区。
大悦城控股集团股份有限公司,"大悦城控股集团股份有限公司于1993年10月08日成立。 法定代表人为曹荣根 [24]  ,公司经营范围包括：一般经营项目是：房地产开发经营；国内商业、物资供销业（不含专营、专卖、专控商品）；建筑技术咨询，进出口按“深贸管审证字第294号审证字第294号审定证书”办等。 [1]  "
深圳经济特区房地产（集团）股份有限公司,深圳经济特区房地产（集团）股份有限公司（简称深房集团）成立于1980年1月8日，前身为“深圳经济特区房地产公司”。
深圳鹍鹏控股股份有限公司,深圳鹍鹏控股股份有限公司于1990年03月08日成立。法定代表人苏从跃，公司经营范围包括：一般经营项目是：经营酒店及酒店附属车辆服务、自有场地出租、康乐设施、停车场、在酒店内经营餐厅、美容美发（不含医学整容业务），桑拿按摩业务，经营卡拉OK，歌舞厅（不含的士高）；洗车美容（分支机构经营）等。 [1]  
神州数码集团股份有限公司,神州数码集团股份有限公司于1982年06月01日在 深圳市市场监督管理局 南山局登记成立。法定代表人郭为。2019年8月22日，2019中国民营企业服务业100强发布，神州数码集团股份有限公司排名第27。 [1]  2019年9月1日，2019中国服务业企业500强榜单在济南发布，神州数码集团股份有限公司排名第93位。 [2]  2020年7月，2020年《财富》中国500强排行榜以营业收入86，803.4百万元排名第117位 [3]  2020年9月10日，入选全国工商联发布的2020中国服务业民营企业100强榜单，排名第26位。 [4]  2020年9月10日， 2020中国民营企业500强 榜单发布，神州数码集团股份有限公司位列第74位，2019年营业收入8680338万元。 [5]  
华联控股股份有限公司,华联控股股份有限公司于1989年09月11日在 深圳市市场监督管理局 福田局登记成立。法定代表人董炳根。
深圳南山热电股份有限公司,深圳南山热电股份有限公司成立于1990年4月，是以生产经营供电、供热，从事发电厂（站）的 建设工程总承包 ，提供技术咨询和技术服务为主营业务的中外合资股份制企业。
深圳大通实业股份有限公司,深圳大通实业股份有限公司前身为大通实业（深圳）有限公司，经深圳市人民政府批准，于1990年9月26日由广东华侨投资公司、香港益通电子有限公司、深圳新通阳电子元件工业有限公司、运通电子（深圳）实业有限公司、香港威利马电器有限公司共同发起设立。
深圳市中洲投资控股股份有限公司,深圳市中洲投资控股股份有限公司于1984年09月17日在 深圳市市场监督管理局 福田局登记成立。法定代表人姚日波，公司经营范围包括房地产开发及商品房的销售、管理；承接建筑安装工程等。
深圳市纺织（集团）股份有限公司,深圳市纺织（集团）股份有限公司是由 深圳市投资控股有限公司 控股的国有上市公司，成立于1984年。公司于1994年改制上市，公司股票“深纺织A”、“深纺织B”于1994年8月在 深圳证券交易所 上市。
泛海控股股份有限公司,泛海建设集团股份有限公司（以下简称泛海建设集团）成立于1989年，为上市公众公司，在 深圳证券交易所 挂牌交易的股票简称“泛海建设”，股票代码为“000046”。公司为房地产综合开发企业，经营范围为：承办国内外投资开发项目，经营房地产业务及物业管理；投资兴办实业（具体项目另行申报）；资产管理；建筑设备、 建筑装饰材料 的购销；自有物业租赁。泛海建设集团控股子公司15家，包括 武汉王家墩中央商务区建设投资股份有限公司 、 通海建设有限公司 、 浙江泛海建设投资有限公司 、 北京泛海信华置业有限公司 、 北京泛海东风置业有限公司 、 北京星火房地产开发有限责任公司 、 深圳市光彩置业有限公司 、 北京光彩置业有限公司 、 深圳市泛海三江电子有限公司 、 泛海物业管理有限公司 、泛海建设集团青岛有限公司、山西泛海建设投资有限公司、 北京大兴经济开发区 建设投资有限公司、 北京山海天物资贸易有限公司 、 大连泛海建设投资有限公司 。泛海建设集团投资兴建并已竣工的房地产项目主要有北京光彩国际公寓、北京 泛海国际居住区 一期项目、深圳荟芳园高层小区、深圳太子山庄一、二期住宅小区、深圳光彩新世纪家园、深圳光彩新天地公寓、深圳光彩山居岁月家园、青岛泛海名人广场一期等。公司在北京、上海、武汉、深圳、浙江等地的项目均按计划开发建设。
深圳市中侨发展股份有限公司,深圳市中侨发展股份有限公司于1988年09月23日在 深圳市市场监督管理局 罗湖局登记成立。法定代表人周宇斌，公司经营范围包括制造、加工机械设备、电子产品、 新型材料 、纺织品等。
深圳市京基智农时代股份有限公司,深圳市京基智农时代股份有限公司于1979年01月01日成立。法定代表人熊伟，公司经营范围包括：一般经营项目是：养殖鸡、鸡苗、禽蛋、生产制造肉制品、饮料、鸡场设备、自酿鲜啤、兴办实业（具体项目另行申报）；国内商业、物资供销业（不含专营、专控、专卖商品）；货物及技术进出口；在合法取得使用权的土地上从事房地产开发经营；房屋租赁等。 [1-2]  
深圳市德赛电池科技股份有限公司,深圳市德赛电池科技股份有限公司 [4]  于1985年09月04日在 深圳市市场监督管理局 南山局登记成立。法定代表人刘其，公司经营范围包括无汞碱锰电池、一次锂电池、 锌空气电池 、镍氢电池等。
