ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000004.SZ,20230809,19.7,22.06,19.43,20.68,20.05,0.63,3.1421,264511.75,557022.769
000004.SZ,20230808,20.87,21.06,19.71,20.05,21.17,-1.12,-5.2905,219185.95,446125.813
000004.SZ,20230807,19.75,21.4,19.48,21.17,20.2,0.97,4.802,292685.82,604577.653
000004.SZ,20230804,19.98,20.86,19.81,20.2,20.32,-0.12,-0.5906,250706.77,508182.362
000004.SZ,20230803,19.69,21.05,19.22,20.32,19.68,0.64,3.252,319501.32,646419.036
000004.SZ,20230802,19.4,20.92,19.2,19.68,19.62,0.06,0.3058,355264.32,710262.603
000004.SZ,20230801,18.1,19.62,18.0,19.62,17.84,1.78,9.9776,280600.72,533066.226
000004.SZ,20230731,18.39,18.5,17.66,17.84,18.47,-0.63,-3.4109,220007.4,395522.985
000004.SZ,20230728,19.01,19.82,17.88,18.47,18.9,-0.43,-2.2751,275453.01,517450.266
000004.SZ,20230727,19.22,20.86,18.8,18.9,19.39,-0.49,-2.5271,365816.17,724368.858
000004.SZ,20230726,17.43,19.39,17.11,19.39,17.63,1.76,9.983,364914.8,682715.166
000004.SZ,20230725,18.33,18.37,17.47,17.63,18.03,-0.4,-2.2185,196738.0,351760.518
000004.SZ,20230724,17.3,18.5,17.3,18.03,18.5,-0.47,-2.5405,189871.08,341632.876
000004.SZ,20230721,19.49,19.8,18.5,18.5,20.56,-2.06,-10.0195,298632.33,558886.057
000004.SZ,20230720,19.74,21.5,19.74,20.56,20.08,0.48,2.3904,376110.69,778904.485
000004.SZ,20230719,21.01,22.2,20.03,20.08,22.26,-2.18,-9.7934,446798.41,929586.88
000004.SZ,20230718,22.05,23.11,21.85,22.26,21.01,1.25,5.9495,542752.33,1225768.144
000004.SZ,20230717,21.01,21.01,21.01,21.01,19.1,1.91,10.0,16585.77,34846.703
000004.SZ,20230714,19.1,19.1,19.1,19.1,17.36,1.74,10.023,30184.0,57651.44
000004.SZ,20230713,15.78,17.36,15.38,17.36,15.78,1.58,10.0127,166765.21,283032.84
000004.SZ,20230712,16.82,17.3,15.35,15.78,16.81,-1.03,-6.1273,236806.02,382681.154
000004.SZ,20230711,14.82,16.81,14.32,16.81,15.28,1.53,10.0131,271584.43,419857.088
000004.SZ,20230710,16.36,17.37,15.28,15.28,16.98,-1.7,-10.0118,236955.91,378838.179
000004.SZ,20230707,17.74,18.98,16.8,16.98,17.9,-0.92,-5.1397,319080.21,573268.683
000004.SZ,20230706,16.7,17.9,16.7,17.9,16.27,1.63,10.0184,112659.21,198092.199
000004.SZ,20230705,14.4,16.27,14.18,16.27,14.79,1.48,10.0068,222249.18,339195.944
000004.SZ,20230704,13.5,15.21,13.4,14.79,13.83,0.96,6.9414,214810.87,318639.016
000004.SZ,20230703,15.12,15.25,13.73,13.83,15.25,-1.42,-9.3115,141466.48,198773.159
000004.SZ,20230630,15.5,16.2,14.99,15.25,15.99,-0.74,-4.6279,122877.58,191007.11
000004.SZ,20230629,14.86,16.6,14.06,15.99,15.14,0.85,5.6143,221750.75,332476.274
000004.SZ,20230628,14.8,15.14,14.46,15.14,13.76,1.38,10.0291,60151.0,89326.979
000004.SZ,20230626,13.89,14.5,13.72,13.76,14.17,-0.41,-2.8934,40120.56,56555.846
000004.SZ,20230621,14.8,15.19,14.17,14.17,14.92,-0.75,-5.0268,51999.01,75055.294
000004.SZ,20230620,15.68,15.73,14.9,14.92,15.68,-0.76,-4.8469,37472.0,56360.251
000004.SZ,20230619,16.0,16.0,15.3,15.68,15.66,0.02,0.1277,33454.0,52153.455
000004.SZ,20230616,14.79,15.66,14.78,15.66,14.91,0.75,5.0302,32942.18,50699.887
000004.SZ,20230615,14.14,14.91,14.14,14.91,14.2,0.71,5.0,70229.0,103809.348
000004.SZ,20230614,14.68,15.2,14.1,14.2,14.48,-0.28,-1.9337,89968.01,132467.525
000004.SZ,20230613,14.26,14.88,14.08,14.48,14.4,0.08,0.5556,63998.6,92787.726
000004.SZ,20230612,15.04,15.08,14.4,14.4,15.16,-0.76,-5.0132,36812.0,53478.914
000004.SZ,20230609,15.09,15.46,14.56,15.16,15.09,0.07,0.4639,47251.0,71130.162
000004.SZ,20230608,15.41,15.87,15.09,15.09,15.88,-0.79,-4.9748,46729.43,71312.606
000004.SZ,20230607,15.56,16.05,14.86,15.88,15.29,0.59,3.8587,83127.43,129652.904
000004.SZ,20230606,14.77,15.29,14.77,15.29,14.56,0.73,5.0137,39561.11,59873.919
000004.SZ,20230605,13.74,14.56,13.74,14.56,13.87,0.69,4.9748,53988.11,78156.351
000004.SZ,20230602,13.5,14.22,13.22,13.87,13.84,0.03,0.2168,63989.0,87410.502
000004.SZ,20230601,13.32,14.05,13.32,13.84,13.38,0.46,3.438,109594.04,152009.096
000004.SZ,20230531,14.64,14.67,13.34,13.38,14.04,-0.66,-4.7009,114115.25,157478.793
000004.SZ,20230530,13.77,14.04,13.56,14.04,13.37,0.67,5.0112,17361.06,24075.719
000004.SZ,20230529,13.2,13.37,12.83,13.37,12.73,0.64,5.0275,60873.97,80340.893
000004.SZ,20230526,12.32,12.73,12.04,12.73,12.12,0.61,5.033,47095.06,58485.586
000004.SZ,20230525,12.12,12.12,11.85,12.12,11.54,0.58,5.026,50802.0,61498.081
000004.SZ,20230524,11.41,11.84,11.27,11.54,11.45,0.09,0.786,28750.0,33360.063
000004.SZ,20230523,10.96,11.62,10.96,11.45,11.08,0.37,3.3394,31703.0,36163.432
000004.SZ,20230522,10.7,11.14,10.68,11.08,10.81,0.27,2.4977,18752.69,20641.213
000004.SZ,20230519,10.74,10.87,10.56,10.81,10.74,0.07,0.6518,20650.01,22122.181
000004.SZ,20230518,10.24,10.74,10.24,10.74,10.28,0.46,4.4747,24423.9,25808.783
000004.SZ,20230517,10.12,10.42,10.02,10.28,10.24,0.04,0.3906,16103.0,16557.189
000004.SZ,20230516,10.7,10.73,10.23,10.24,10.77,-0.53,-4.9211,32925.9,33917.171
000004.SZ,20230515,10.74,10.77,10.53,10.77,10.66,0.11,1.0319,12040.0,12826.717
000004.SZ,20230512,10.63,10.87,10.61,10.66,10.61,0.05,0.4713,22275.06,23840.289
000004.SZ,20230511,10.37,10.73,10.37,10.61,10.22,0.39,3.816,34738.61,37088.156
000004.SZ,20230510,10.15,10.37,10.09,10.22,10.15,0.07,0.6897,18236.0,18679.571
000004.SZ,20230509,10.39,10.47,10.15,10.15,10.68,-0.53,-4.9625,53888.0,55037.73
000004.SZ,20230508,11.14,11.38,10.68,10.68,11.24,-0.56,-4.9822,31242.36,34235.85
000004.SZ,20230505,11.06,11.37,10.96,11.24,11.03,0.21,1.9039,56655.04,62915.713
000004.SZ,20230504,11.03,11.03,10.94,11.03,10.5,0.53,5.0476,55155.02,60800.085
000004.SZ,20230428,10.54,10.79,10.41,10.5,10.51,-0.01,-0.0951,40004.98,42434.094
000004.SZ,20230427,10.32,10.74,10.21,10.51,10.23,0.28,2.737,40385.01,42888.77
000004.SZ,20230426,10.17,10.43,9.93,10.23,10.28,-0.05,-0.4864,29323.0,29810.007
000004.SZ,20230425,10.84,10.84,10.28,10.28,10.82,-0.54,-4.9908,39824.0,41562.713
000004.SZ,20230424,10.6,10.94,10.4,10.82,10.57,0.25,2.3652,37477.72,39968.953
000004.SZ,20230421,11.01,11.14,10.5,10.57,11.04,-0.47,-4.2572,52974.07,57287.565
000004.SZ,20230420,11.2,11.43,10.72,11.04,10.95,0.09,0.8219,80806.74,89910.933
000004.SZ,20230419,10.38,10.95,10.38,10.95,10.43,0.52,4.9856,40568.36,44017.131
000004.SZ,20230418,10.26,10.46,10.18,10.43,10.28,0.15,1.4591,25009.8,25822.813
000004.SZ,20230417,10.03,10.54,10.01,10.28,10.04,0.24,2.3904,40813.0,42057.949
000004.SZ,20230414,10.12,10.18,9.89,10.04,10.12,-0.08,-0.7905,28161.01,28173.192
000004.SZ,20230413,10.07,10.23,10.0,10.12,10.06,0.06,0.5964,19624.0,19884.792
000004.SZ,20230412,9.88,10.17,9.88,10.06,9.9,0.16,1.6162,22747.93,22871.246
000004.SZ,20230411,9.81,9.92,9.67,9.9,9.84,0.06,0.6098,8661.0,8494.612
000004.SZ,20230410,10.0,10.01,9.73,9.84,9.96,-0.12,-1.2048,17469.0,17142.185
000004.SZ,20230407,9.66,10.0,9.6,9.96,9.65,0.31,3.2124,16780.0,16484.727
000004.SZ,20230406,9.77,9.78,9.58,9.65,9.76,-0.11,-1.127,21444.0,20707.971
000004.SZ,20230404,10.13,10.19,9.74,9.76,10.14,-0.38,-3.7475,38703.2,38167.182
000004.SZ,20230403,9.97,10.21,9.95,10.14,9.9,0.24,2.4242,16754.0,16920.213
000004.SZ,20230331,9.75,9.92,9.74,9.9,9.73,0.17,1.7472,8749.38,8638.276
000004.SZ,20230330,9.85,9.97,9.66,9.73,9.89,-0.16,-1.6178,14814.01,14461.873
000004.SZ,20230329,9.99,9.99,9.86,9.89,9.99,-0.1,-1.001,12207.0,12105.878
000004.SZ,20230328,10.02,10.13,9.88,9.99,10.03,-0.04,-0.3988,15943.0,15909.838
000004.SZ,20230327,10.35,10.48,9.96,10.03,10.21,-0.18,-1.763,27143.0,27508.107
000004.SZ,20230324,10.1,10.37,10.1,10.21,10.09,0.12,1.1893,27652.0,28306.691
000004.SZ,20230323,9.84,10.18,9.84,10.09,9.82,0.27,2.7495,24099.96,24218.866
000004.SZ,20230322,9.77,9.87,9.76,9.82,9.78,0.04,0.409,7574.0,7443.02
000004.SZ,20230321,9.66,9.81,9.64,9.78,9.66,0.12,1.2422,8029.17,7825.354
000004.SZ,20230320,9.77,9.8,9.66,9.66,9.77,-0.11,-1.1259,8589.0,8347.753
000004.SZ,20230317,9.75,9.83,9.72,9.77,9.74,0.03,0.308,9943.96,9722.12
000004.SZ,20230316,9.79,9.81,9.69,9.74,9.83,-0.09,-0.9156,10964.83,10679.804
000004.SZ,20230315,9.78,9.86,9.74,9.83,9.76,0.07,0.7172,8893.0,8723.282
000004.SZ,20230314,10.0,10.0,9.74,9.76,10.0,-0.24,-2.4,16171.0,15897.579
000004.SZ,20230313,9.96,10.16,9.91,10.0,10.08,-0.08,-0.7937,12768.9,12775.841
000004.SZ,20230310,10.02,10.3,9.95,10.08,10.06,0.02,0.1988,16755.22,16994.479
000004.SZ,20230309,9.87,10.1,9.78,10.06,9.93,0.13,1.3092,16159.0,16073.006
000004.SZ,20230308,9.69,9.96,9.69,9.93,9.72,0.21,2.1605,15438.0,15208.164
000004.SZ,20230307,9.84,9.87,9.66,9.72,9.84,-0.12,-1.2195,11530.0,11237.461
000004.SZ,20230306,9.9,9.94,9.75,9.84,9.9,-0.06,-0.6061,9952.0,9776.093
000004.SZ,20230303,9.89,9.98,9.85,9.9,9.95,-0.05,-0.5025,7944.0,7867.394
000004.SZ,20230302,9.92,10.1,9.87,9.95,9.95,0.0,0.0,14678.0,14679.301
000004.SZ,20230301,9.86,9.96,9.8,9.95,9.88,0.07,0.7085,9246.37,9178.769
000004.SZ,20230228,9.71,9.96,9.7,9.88,9.68,0.2,2.0661,9184.36,9017.992
000004.SZ,20230227,9.91,9.91,9.67,9.68,9.9,-0.22,-2.2222,9611.0,9380.704
000004.SZ,20230224,9.89,9.97,9.89,9.9,9.92,-0.02,-0.2016,7531.17,7480.447
000004.SZ,20230223,9.79,10.16,9.74,9.92,9.78,0.14,1.4315,18610.27,18566.778
000004.SZ,20230222,9.63,9.83,9.58,9.78,9.71,0.07,0.7209,13535.9,13148.647
000004.SZ,20230221,9.81,9.81,9.67,9.71,9.83,-0.12,-1.2208,13294.53,12913.341
000004.SZ,20230220,9.68,9.97,9.65,9.83,9.69,0.14,1.4448,15890.53,15527.253
000004.SZ,20230217,9.66,9.73,9.59,9.69,9.67,0.02,0.2068,13944.42,13491.852
000004.SZ,20230216,10.08,10.08,9.6,9.67,10.09,-0.42,-4.1625,39271.98,38617.402
000004.SZ,20230215,10.06,10.1,10.05,10.09,10.07,0.02,0.1986,10150.0,10228.095
000004.SZ,20230214,10.1,10.15,10.05,10.07,10.11,-0.04,-0.3956,11870.7,11972.263
000004.SZ,20230213,10.13,10.18,10.07,10.11,10.14,-0.03,-0.2959,13088.0,13258.525
000004.SZ,20230210,10.24,10.29,10.07,10.14,10.22,-0.08,-0.7828,14657.0,14900.206
000004.SZ,20230209,10.21,10.32,10.17,10.22,10.3,-0.08,-0.7767,15640.0,15987.717
000004.SZ,20230208,10.43,10.59,10.22,10.3,10.38,-0.08,-0.7707,23962.5,24896.628
000004.SZ,20230207,10.06,10.43,10.01,10.38,10.06,0.32,3.1809,29148.0,29674.025
000004.SZ,20230206,10.15,10.19,10.04,10.06,10.16,-0.1,-0.9843,14903.5,15050.439
000004.SZ,20230203,10.2,10.24,10.0,10.16,10.2,-0.04,-0.3922,21208.51,21465.33
000004.SZ,20230202,10.49,10.49,10.07,10.2,10.6,-0.4,-3.7736,54411.0,55579.691
000004.SZ,20230201,10.45,10.65,10.36,10.6,10.37,0.23,2.2179,32470.0,34274.457
000004.SZ,20230131,10.2,10.7,10.17,10.37,10.19,0.18,1.7664,58769.0,61552.119
000004.SZ,20230130,10.15,10.29,9.98,10.19,10.02,0.17,1.6966,21807.01,22045.223
000004.SZ,20230120,9.78,10.16,9.66,10.02,9.84,0.18,1.8293,14329.62,14331.884
000004.SZ,20230119,9.78,9.84,9.63,9.84,9.78,0.06,0.6135,12005.02,11696.761
000004.SZ,20230118,9.7,9.93,9.62,9.78,9.47,0.31,3.2735,20578.01,20100.336
000004.SZ,20230117,9.62,9.62,9.41,9.47,9.58,-0.11,-1.1482,7312.0,6934.243
000004.SZ,20230116,9.51,9.66,9.5,9.58,9.51,0.07,0.7361,7024.0,6737.801
000004.SZ,20230113,9.37,9.56,9.35,9.51,9.41,0.1,1.0627,6287.0,5958.703
000004.SZ,20230112,9.32,9.47,9.27,9.41,9.32,0.09,0.9657,8377.0,7854.976
000004.SZ,20230111,9.63,9.63,9.31,9.32,9.6,-0.28,-2.9167,11861.62,11226.936
000004.SZ,20230110,9.73,9.73,9.6,9.6,9.69,-0.09,-0.9288,10961.3,10580.742
000004.SZ,20230109,9.62,9.75,9.62,9.69,9.61,0.08,0.8325,4642.0,4498.145
000004.SZ,20230106,9.92,9.92,9.61,9.61,9.85,-0.24,-2.4365,15286.01,14822.851
000004.SZ,20230105,9.93,9.98,9.83,9.85,9.96,-0.11,-1.1044,9613.0,9515.336
000004.SZ,20230104,9.89,10.02,9.81,9.96,9.94,0.02,0.2012,16375.62,16273.674
000004.SZ,20230103,9.67,10.05,9.61,9.94,9.68,0.26,2.686,21340.62,21096.459
000004.SZ,20221230,9.56,9.68,9.52,9.68,9.56,0.12,1.2552,8985.0,8633.183
000004.SZ,20221229,9.6,9.68,9.51,9.56,9.55,0.01,0.1047,6056.01,5804.573
000004.SZ,20221228,9.62,9.72,9.52,9.55,9.7,-0.15,-1.5464,6419.0,6155.308
000004.SZ,20221227,9.76,9.76,9.41,9.7,9.46,0.24,2.537,10540.0,10099.66
000004.SZ,20221226,9.34,9.52,9.28,9.46,9.34,0.12,1.2848,6594.0,6202.37
000004.SZ,20221223,9.3,9.45,9.23,9.34,9.29,0.05,0.5382,8003.0,7487.192
000004.SZ,20221222,9.31,9.48,9.28,9.29,9.29,0.0,0.0,9913.0,9273.551
000004.SZ,20221221,9.43,9.53,9.23,9.29,9.44,-0.15,-1.589,10513.0,9857.635
000004.SZ,20221220,9.37,9.6,9.33,9.44,9.37,0.07,0.7471,10952.0,10376.714
000004.SZ,20221219,9.71,9.77,9.28,9.37,9.7,-0.33,-3.4021,18226.0,17286.066
000004.SZ,20221216,10.07,10.11,9.7,9.7,10.21,-0.51,-4.9951,32674.0,32174.104
000004.SZ,20221215,9.76,10.32,9.75,10.21,9.83,0.38,3.8657,32864.0,33364.32
000004.SZ,20221214,9.76,9.88,9.61,9.83,9.79,0.04,0.4086,10589.6,10337.692
000004.SZ,20221213,9.76,9.85,9.7,9.79,9.72,0.07,0.7202,13287.0,13030.736
000004.SZ,20221212,10.03,10.09,9.72,9.72,10.08,-0.36,-3.5714,23143.0,22771.544
000004.SZ,20221209,10.05,10.14,9.95,10.08,10.07,0.01,0.0993,15586.0,15641.463
000004.SZ,20221208,10.3,10.36,10.04,10.07,10.32,-0.25,-2.4225,23195.6,23484.616
000004.SZ,20221207,10.6,10.62,10.27,10.32,10.63,-0.31,-2.9163,31744.0,33015.119
000004.SZ,20221206,10.85,11.04,10.32,10.63,10.57,0.06,0.5676,49051.3,52464.059
000004.SZ,20221205,10.1,10.57,10.09,10.57,10.07,0.5,4.9652,36704.0,38057.622
000004.SZ,20221202,10.2,10.27,10.02,10.07,10.23,-0.16,-1.564,27537.0,27816.949
000004.SZ,20221201,10.19,10.59,10.18,10.23,10.2,0.03,0.2941,46309.0,48000.528
000004.SZ,20221130,10.0,10.2,9.7,10.2,10.1,0.1,0.9901,50942.0,50640.532
000004.SZ,20221129,10.06,10.27,9.98,10.1,10.01,0.09,0.8991,38151.3,38554.943
000004.SZ,20221128,10.03,10.3,9.95,10.01,10.0,0.01,0.1,43014.0,43354.685
000004.SZ,20221125,10.26,10.4,9.93,10.0,10.42,-0.42,-4.0307,66126.36,67184.536
000004.SZ,20221124,10.62,10.94,10.42,10.42,10.97,-0.55,-5.0137,69370.03,73366.932
000004.SZ,20221123,11.8,12.13,10.97,10.97,11.55,-0.58,-5.0216,103232.92,118166.759
000004.SZ,20221122,11.35,11.55,11.24,11.55,11.0,0.55,5.0,25346.06,29109.66
000004.SZ,20221121,10.67,11.0,10.52,11.0,10.48,0.52,4.9618,52647.0,56857.248
000004.SZ,20221118,9.92,10.48,9.88,10.48,9.98,0.5,5.01,46631.0,48001.197
000004.SZ,20221117,9.65,10.11,9.6,9.98,9.63,0.35,3.6345,55540.26,55420.515
000004.SZ,20221116,9.55,9.75,9.5,9.63,9.55,0.08,0.8377,16638.0,16002.35
000004.SZ,20221115,9.54,9.66,9.44,9.55,9.54,0.01,0.1048,17970.03,17177.943
000004.SZ,20221114,9.31,9.56,9.31,9.54,9.38,0.16,1.7058,15993.0,15162.719
000004.SZ,20221111,9.77,9.87,9.38,9.38,9.61,-0.23,-2.3933,22947.25,22190.216
000004.SZ,20221110,9.45,9.93,9.42,9.61,9.52,0.09,0.9454,23659.0,22997.046
000004.SZ,20221109,9.55,9.74,9.41,9.52,9.65,-0.13,-1.3472,19940.0,19064.534
000004.SZ,20221108,9.52,9.68,9.26,9.65,9.3,0.35,3.7634,37609.52,35654.443
000004.SZ,20221107,8.91,9.3,8.91,9.3,8.86,0.44,4.9661,29863.12,27398.559
000004.SZ,20221104,8.75,8.92,8.72,8.86,8.76,0.1,1.1416,11770.0,10392.991
000004.SZ,20221103,8.75,8.83,8.7,8.76,8.85,-0.09,-1.0169,11510.0,10080.103
000004.SZ,20221102,8.81,8.97,8.81,8.85,8.81,0.04,0.454,15813.62,14047.169
000004.SZ,20221101,8.68,8.89,8.68,8.81,8.74,0.07,0.8009,13399.23,11768.037
000004.SZ,20221031,8.44,8.91,8.36,8.74,8.59,0.15,1.7462,22956.59,19715.44
000004.SZ,20221028,9.0,9.15,8.5,8.59,8.86,-0.27,-3.0474,26574.11,23573.315
000004.SZ,20221027,8.88,9.09,8.79,8.86,8.83,0.03,0.3398,13347.82,11945.843
000004.SZ,20221026,8.57,8.89,8.52,8.83,8.57,0.26,3.0338,12038.12,10513.864
000004.SZ,20221025,8.41,8.64,8.34,8.57,8.4,0.17,2.0238,8657.03,7386.768
000004.SZ,20221024,8.59,8.7,8.34,8.4,8.62,-0.22,-2.5522,8588.0,7366.976
000004.SZ,20221021,8.68,8.68,8.59,8.62,8.63,-0.01,-0.1159,5113.0,4413.154
000004.SZ,20221020,8.68,8.76,8.5,8.63,8.7,-0.07,-0.8046,8761.0,7566.881
000004.SZ,20221019,8.8,8.8,8.65,8.7,8.83,-0.13,-1.4723,7795.66,6797.0
000004.SZ,20221018,8.84,8.9,8.66,8.83,8.8,0.03,0.3409,11964.46,10478.161
000004.SZ,20221017,8.57,8.87,8.57,8.8,8.55,0.25,2.924,19258.46,16874.286
000004.SZ,20221014,8.4,8.56,8.4,8.55,8.4,0.15,1.7857,14307.0,12158.019
000004.SZ,20221013,8.24,8.62,8.19,8.4,8.25,0.15,1.8182,16491.0,13915.576
000004.SZ,20221012,7.99,8.25,7.96,8.25,7.99,0.26,3.2541,10214.0,8274.178
000004.SZ,20221011,8.1,8.23,7.85,7.99,8.1,-0.11,-1.358,10881.0,8672.257
000004.SZ,20221010,8.44,8.48,8.08,8.1,8.44,-0.34,-4.0284,11867.0,9780.167
000004.SZ,20220930,8.36,8.5,8.33,8.44,8.36,0.08,0.9569,8965.0,7538.964
000004.SZ,20220929,8.56,8.65,8.32,8.36,8.48,-0.12,-1.4151,8279.0,7033.83
000004.SZ,20220928,8.57,8.69,8.43,8.48,8.57,-0.09,-1.0502,11146.6,9536.374
000004.SZ,20220927,8.29,8.62,8.29,8.57,8.34,0.23,2.7578,9982.0,8489.381
000004.SZ,20220926,8.66,8.72,8.23,8.34,8.66,-0.32,-3.6952,13891.0,11785.888
000004.SZ,20220923,9.02,9.07,8.6,8.66,9.05,-0.39,-4.3094,25646.0,22516.558
000004.SZ,20220922,9.07,9.25,9.02,9.05,9.1,-0.05,-0.5495,11971.0,10891.446
000004.SZ,20220921,9.15,9.15,8.94,9.1,9.2,-0.1,-1.087,13052.0,11825.986
000004.SZ,20220920,8.9,9.23,8.9,9.2,9.06,0.14,1.5453,20448.0,18582.884
000004.SZ,20220919,9.4,9.41,9.06,9.06,9.54,-0.48,-5.0314,42465.0,38626.557
000004.SZ,20220916,9.83,9.94,9.48,9.54,9.82,-0.28,-2.8513,46793.0,45463.185
